Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF2MN1CA,2024.06,6641.297,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2024.09,6679.153,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2024.12,6744.981,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN1CA,2025.03,6339.909,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Professional, Scientific and Technical Services",Current prices,Unadjusted,
BDCQ.SF2MN2CA,2016.06,2052.551,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2016.09,2021.719,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2016.12,1981.094,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2017.03,1840.911,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2017.06,2244.945,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2017.09,2205.213,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2017.12,2280.958,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2018.03,2171.203,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2018.06,2677.136,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2018.09,2302.323,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2018.12,2400.784,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2019.03,2210.944,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2019.06,2388.433,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2019.09,2397.567,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2019.12,2445.759,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2020.03,2164.4,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2020.06,2122.386,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2020.09,2140.2,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
BDCQ.SF2MN2CA,2020.12,1994.778,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Administrative and Support Services,Current prices,Unadjusted,
